date,"Overall"
1984-01-01,9.029984544049459
1985-01-01,8.73303437967115
1986-01-01,8.591764705882353
1987-01-01,8.310668563300142
1988-01-01,8.014266117969822
1989-01-01,7.677266754270697
1990-01-01,8.304761904761905
1991-01-01,8.962515114873035
1992-01-01,8.74056603773585
1993-01-01,8.529344073647872
1994-01-01,8.346846846846848
1995-01-01,8.154015401540153
1996-01-01,8.878885316184352
1997-01-01,9.424554039874083
1998-01-01,9.297722567287787
1999-01-01,9.109127789046655
2000-01-01,8.805490196078432
2001-01-01,8.61131351869607
2002-01-01,8.50530303030303
2003-01-01,8.331725417439705
2004-01-01,8.128144796380091
2005-01-01,7.899384344766931
2006-01-01,7.676581196581197
2007-01-01,8.502
2008-01-01,9.182636655948553
2009-01-01,10.205004035512511
2010-01-01,10.06687898089172
2011-01-01,9.763706563706565
2012-01-01,9.57878787878788
2013-01-01,9.464071856287426
2014-01-01,9.331365313653137
2015-01-01,9.338257016248154
2016-01-01,9.256222547584189
2017-01-01,9.096402877697843
2018-01-01,8.916784203102962
2019-01-01,8.786657400972897
2020-01-01,8.696011004126548
2021-01-01,8.323897300855826
2022-01-01,7.728606356968216
2023-01-01,7.43764705882353
2024-01-01,7.25
